"cliente_id","genero","idade","data_inicio_contrato","tempo_contrato_meses","tipo_plano","valor_mensal","forma_pagamento","frequencia_mensal","duracao_media_treino_min","tem_personal_trainer","participa_aulas_coletivas","usa_app_academia","atrasos_pagamento_12m","teve_desconto_promocao","nps_score","numero_reclamacoes","participou_eventos","reducao_frequencia_3m","dias_desde_ultimo_acesso","tentou_cancelar_antes","churn","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000001","M","16","5/12/2022","43","Básico","87.36","Cartão de Crédito","13","95","0","0","0","0","0","10","0","0","0","1","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000002","F","18","4/27/2025","7.5","Básico","92.63","Cartão de Crédito","8","95","1","0","1","2","0","0","0","0","1","13","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000003","F","36","10/21/2025","1.7","Básico","94.3","Débito Automático","7","78","0","0","0","1","0","3","0","0","0","3","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000004","F","17","10/15/2021","49.9","Básico","92.39","Boleto","4","97","1","0","0","0","0","4","0","0","1","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000005","M","45","5/27/2024","18.5","Intermediário","140.48","Cartão de Crédito","5","73","0","0","0","3","1","6","0","0","1","4","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000006","M","31","7/28/2024","16.5","VIP","279.91","Boleto","7","81","0","1","1","0","1","9","0","1","0","4","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000007","M","33","9/10/2024","15","Premium","212.09","Débito Automático","12","67","1","0","1","4","1","7","0","0","1","5","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000008","F","28","3/1/2025","9.4","VIP","340.74","PIX","9","68","0","1","0","5","0","3","0","0","0","2","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000009","F","41","10/25/2021","49.5","Premium","180.25","Débito Automático","12","80","0","1","0","0","0","5","0","0","1","7","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000010","F","41","5/16/2025","6.9","Premium","186.6","Cartão de Crédito","11","75","0","1","0","0","0","6","0","1","0","6","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000011","M","36","2/25/2022","45.5","Intermediário","124.69","PIX","10","38","1","0","0","0","0","9","2","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000012","F","38","10/17/2021","49.8","Básico","98.36","Débito Automático","12","77","0","1","1","0","0","5","2","0","0","2","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000013","F","29","11/21/2022","36.7","Premium","213.04","Débito Automático","11","58","0","1","0","1","1","8","3","0","0","2","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000014","M","38","6/16/2025","5.8","VIP","345.08","PIX","4","51","1","1","1","0","0","9","0","0","0","15","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000015","M","27","8/20/2022","39.7","Intermediário","143.21","PIX","13","89","0","0","1","3","0","7","1","0","1","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
